DATE,MAX_IR (l/s),I_DWF (l/s),I_DWF_MAX (l/s),G (2020),E,TDV (l),PE (forecasted 2021),PE (unrounded 2020),PE (forcasted 2020)
01.01.2021, 3.1 ,2.4,2.60, 89.6 ," 1,852.0 ",790.54," 1,558 "," 1,662 "," 1,553 "
02.01.2021, 5.0 ,0.5,4.90, 135.6 ," 1,585.6 ",760.71," 1,558 "," 1,662 "," 1,553 "
03.01.2021, 7.9 ,1.7,4.70, 42.9 ," 1,301.5 ",744.77," 1,558 "," 1,662 "," 1,553 "
04.01.2021, 7.1 ,0.3,7.90, 165.5 ," 1,999.1 ",695.89," 1,558 "," 1,662 "," 1,553 "
05.01.2021, 4.1 ,1.8,3.60, 113.9 ," 1,180.7 ",676.16," 1,558 "," 1,662 "," 1,553 "
06.01.2021, 6.6 ,1.1,9.70, 78.8 ," 1,145.2 ",646.23," 1,558 "," 1,662 "," 1,553 "
07.01.2021, 5.5 ,1.6,4.60, 150.1 ," 1,217.0 ",635.21," 1,558 "," 1,662 "," 1,553 "
08.01.2021, 1.0 ,2.8,5.30, 142.8 ," 1,369.9 ",627.51," 1,558 "," 1,662 "," 1,553 "
09.01.2021, 7.8 ,2.8,8.50, 30.3 ," 1,605.0 ",609.59," 1,558 "," 1,662 "," 1,553 "
10.01.2021, 7.3 ,1.0,3.50, 61.2 ," 1,637.5 ",606.02," 1,558 "," 1,662 "," 1,553 "
11.01.2021, 1.3 ,2.8,7.70, 77.0 ," 1,715.1 ",559.30," 1,558 "," 1,662 "," 1,553 "
12.01.2021, 4.5 ,3.0,3.80, 41.2 ," 1,494.9 ",615.30," 1,558 "," 1,662 "," 1,553 "
13.01.2021, 0.4 ,2.5,9.40, 174.8 ," 1,842.5 ",565.45," 1,558 "," 1,662 "," 1,553 "
14.01.2021, 0.7 ,2.2,9.70, 20.4 ," 1,116.4 ",688.77," 1,558 "," 1,662 "," 1,553 "
15.01.2021, 8.0 ,2.8,5.60, 122.2 ," 1,350.3 ",582.34," 1,558 "," 1,662 "," 1,553 "
16.01.2021, 0.4 ,0.0,4.20, 15.5 ," 1,315.0 ",753.35," 1,558 "," 1,662 "," 1,553 "
17.01.2021, 3.9 ,2.3,1.40, 136.7 ," 1,537.1 ",655.84," 1,558 "," 1,662 "," 1,553 "
18.01.2021, 1.6 ,1.0,0.20, 71.6 ," 1,339.5 ",605.27," 1,558 "," 1,662 "," 1,553 "
19.01.2021, 3.8 ,0.7,9.00, 33.9 ," 1,725.7 ",689.78," 1,558 "," 1,662 "," 1,553 "
20.01.2021, 0.1 ,2.8,2.40, 190.8 ," 1,234.5 ",936.97," 1,558 "," 1,662 "," 1,553 "
21.01.2021, 0.6 ,2.8,3.60, 112.0 ," 1,530.4 ","1,028.90"," 1,558 "," 1,662 "," 1,553 "
22.01.2021, 6.2 ,2.6,2.30, 178.1 ," 1,171.8 ",898.26," 1,558 "," 1,662 "," 1,553 "
23.01.2021, 4.1 ,3.0,8.60, 171.7 ," 1,675.4 ",794.47," 1,558 "," 1,662 "," 1,553 "
24.01.2021, 4.1 ,0.7,0.50, 61.4 ," 1,298.4 ",738.27," 1,558 "," 1,662 "," 1,553 "
25.01.2021, 7.4 ,1.0,2.60, 111.3 ," 1,366.2 ",695.05," 1,558 "," 1,662 "," 1,553 "
26.01.2021, 1.4 ,1.5,6.40, 27.0 ," 1,728.6 ",734.41," 1,558 "," 1,662 "," 1,553 "
27.01.2021, 7.3 ,0.9,8.80, 188.3 ," 1,681.6 ",769.31," 1,558 "," 1,662 "," 1,553 "
28.01.2021, 1.0 ,1.7,9.80, 185.2 ," 1,500.7 ",997.23," 1,558 "," 1,662 "," 1,553 "
29.01.2021, 5.8 ,0.2,5.80, 95.6 ," 1,751.7 ","1,013.04"," 1,558 "," 1,662 "," 1,553 "
30.01.2021, 9.1 ,0.3,8.60, 91.8 ," 1,146.7 ","1,001.97"," 1,558 "," 1,662 "," 1,553 "
31.01.2021, 7.1 ,0.5,4.30, 118.7 ," 1,352.6 ",991.09," 1,558 "," 1,662 "," 1,553 "
01.02.2021, 3.4 ,2.5,5.70, 57.5 ," 1,553.0 ",983.48," 1,558 "," 1,662 "," 1,553 "
02.02.2021, 0.7 ,0.9,5.20, 24.3 ," 1,425.8 ",959.66," 1,558 "," 1,662 "," 1,553 "
03.02.2021, 0.7 ,1.4,9.00, 165.7 ," 1,515.7 ",928.68," 1,558 "," 1,662 "," 1,553 "
04.02.2021, 8.5 ,0.1,7.10, 18.5 ," 1,698.4 ",905.01," 1,558 "," 1,662 "," 1,553 "
05.02.2021, 9.6 ,1.2,5.90, 75.9 ," 1,747.7 ",897.75," 1,558 "," 1,662 "," 1,553 "
06.02.2021, 8.8 ,2.0,5.50, 100.7 ," 1,184.6 ",906.25," 1,558 "," 1,662 "," 1,553 "
07.02.2021, 0.6 ,1.0,6.50, 62.3 ," 1,027.8 ",913.94," 1,558 "," 1,662 "," 1,553 "
08.02.2021, 3.4 ,0.1,3.70, 50.9 ," 1,400.1 ",832.89," 1,558 "," 1,662 "," 1,553 "
09.02.2021, 5.3 ,1.1,7.50, 143.4 ," 1,481.7 ",810.60," 1,558 "," 1,662 "," 1,553 "
10.02.2021, 2.3 ,1.4,8.20, 41.1 ," 1,316.3 ",745.74," 1,558 "," 1,662 "," 1,553 "
11.02.2021, 0.8 ,2.2,6.20, 62.2 ," 1,135.1 ",734.08," 1,558 "," 1,662 "," 1,553 "
12.02.2021, 6.7 ,1.9,1.20, 82.2 ," 1,025.8 ",712.40," 1,558 "," 1,662 "," 1,553 "
13.02.2021, 1.5 ,0.2,10.00, 60.7 ," 1,303.2 ",703.58," 1,558 "," 1,662 "," 1,553 "
14.02.2021, 9.5 ,0.4,1.20, 129.9 ," 1,876.6 ",738.27," 1,558 "," 1,662 "," 1,553 "
15.02.2021, 2.1 ,0.2,4.00, 42.1 ," 1,314.2 ",766.99," 1,558 "," 1,662 "," 1,553 "
16.02.2021, 9.9 ,2.4,6.30, 123.3 ," 1,249.3 ",785.83," 1,558 "," 1,662 "," 1,553 "
17.02.2021, 9.2 ,2.1,0.10, 41.0 ," 1,893.5 ",816.55," 1,558 "," 1,662 "," 1,553 "
18.02.2021, 2.9 ,2.1,4.00, 173.6 ," 1,775.9 ",889.67," 1,558 "," 1,662 "," 1,553 "
19.02.2021, 7.6 ,1.6,1.60, 184.2 ," 1,587.9 ",781.08," 1,558 "," 1,662 "," 1,553 "
20.02.2021, 0.6 ,2.3,8.30, 30.8 ," 1,942.6 ",744.85," 1,558 "," 1,662 "," 1,553 "
