DATE,POPULATION,G,I_DWF,E,DWF_REPORTED,FFT,PE_REPORTED,PE_FORECAST
01.01.2021,1762, 56.2 ,0.7," 1,369.8 "," 569,125.90 "," 284,562.95 "," 1,577 "," 2,433 "
02.01.2021,1762, 99.8 ,1.9," 1,083.2 "," 330,124.70 "," 165,062.35 "," 1,474 "," 2,009 "
03.01.2021,1762, 156.6 ,1.8," 1,000.7 "," 574,570.70 "," 287,285.35 "," 1,577 "," 3,471 "
04.01.2021,1762, 122.8 ,1.5," 1,704.3 "," 514,381.40 "," 257,190.70 "," 1,529 "," 2,335 "
05.01.2021,1762, 22.4 ,0.3," 1,209.4 "," 523,808.50 "," 261,904.25 "," 1,614 "," 3,256 "
06.01.2021,1762, 67.5 ,0.4," 1,726.8 "," 277,337.20 "," 138,668.60 "," 1,497 "," 2,698 "
07.01.2021,1762, 120.4 ,0.6," 1,952.2 "," 613,546.60 "," 306,773.30 "," 1,556 "," 2,648 "
08.01.2021,1762, 172.9 ,2.6," 1,075.8 "," 560,945.20 "," 280,472.60 "," 1,633 "," 2,156 "
09.01.2021,1762, 88.5 ,1.2," 1,851.3 "," 295,649.50 "," 147,824.75 "," 1,458 "," 3,225 "
10.01.2021,1762, 94.5 ,2.7," 1,074.4 "," 515,734.10 "," 257,867.05 "," 1,647 "," 2,763 "
11.01.2021,1762, 138.1 ,1.1," 1,645.7 "," 423,686.00 "," 211,843.00 "," 1,549 "," 1,787 "
12.01.2021,1762, 170.7 ,0.3," 1,812.2 "," 673,978.90 "," 336,989.45 "," 1,424 "," 2,895 "
13.01.2021,1762, 87.7 ,1.2," 1,106.7 "," 266,936.30 "," 133,468.15 "," 1,507 "," 3,153 "
14.01.2021,1762, 60.1 ,2.1," 1,948.1 "," 515,066.40 "," 257,533.20 "," 1,655 "," 3,476 "
15.01.2021,1762, 120.9 ,0.6," 1,027.9 "," 516,054.30 "," 258,027.15 "," 1,642 "," 3,541 "
16.01.2021,1762, 187.4 ,1.3," 1,908.9 "," 598,240.00 "," 299,120.00 "," 1,580 "," 3,497 "
17.01.2021,1762, 98.6 ,0.2," 1,326.4 "," 640,947.80 "," 320,473.90 "," 1,434 "," 2,651 "
18.01.2021,1762, 10.0 ,2.8," 1,366.7 "," 488,899.50 "," 244,449.75 "," 1,560 "," 2,708 "
19.01.2021,1762, 125.1 ,0.6," 1,583.5 "," 279,702.30 "," 139,851.15 "," 1,421 "," 3,177 "
20.01.2021,1762, 164.6 ,1.8," 1,387.7 "," 373,247.70 "," 186,623.85 "," 1,429 "," 2,054 "
21.01.2021,1762, 60.8 ,1.1," 1,730.4 "," 213,460.10 "," 106,730.05 "," 1,597 "," 2,204 "
22.01.2021,1762, 88.1 ,1.1," 1,083.1 "," 345,450.40 "," 172,725.20 "," 1,609 "," 3,070 "
23.01.2021,1762, 185.2 ,0.3," 1,124.9 "," 553,920.60 "," 276,960.30 "," 1,616 "," 2,406 "
24.01.2021,1762, 10.7 ,0.2," 1,732.1 "," 458,656.70 "," 229,328.35 "," 1,602 "," 1,807 "
25.01.2021,1762, 153.1 ,3.0," 1,290.7 "," 385,399.90 "," 192,699.95 "," 1,572 "," 2,834 "
26.01.2021,1762, 11.7 ,0.0," 1,500.1 "," 436,766.50 "," 218,383.25 "," 1,571 "," 2,231 "
