Site Code,Site Name,"IDWF, l/s","Maximum Infiltration Rate      (Imax, l/s)",Note,Site Name,Previous max infiltration rate where known,"Maximum Infiltration Rate (Imax, l/s)",Annual Return Population Equivalent (2020) (Unrounded),Previous Trade Effluent where known,Trade Effluent (l/day) (2020),Water Resource Zone,TW Est. of per capita domestic flow in this area (l/hd/day)
ABBES1ZZ,Abbess Roding,0.9,8.8,Reviewed 2021,Abbess Roding,,8.80, 666 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
ABINS1ZZ,Abingdon,60.7,161.1,Reviewed 2022,Abingdon,,142," 38,705 ","113,969"," 113,969 ",SWOX (2020), 139.9 
ALDES1ZZ,Aldermaston,0.1,3.8,Reviewed 2022,Aldermaston,,4.20, 367 ,, -   , Kennet Valley (2020) , 138.3 
ALDES2ZZ,Aldershot,36.1,94.4,Reviewed 2021,Aldershot,,94.40," 39,598 ",," 102,566 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ALTOS1ZZ,Alton,69.5,96.8,Reviewed 2021,Alton,,220," 25,479 ",," 209,718 ", WRZ5 Farnham (South East Water 2020) , 139.0 
AMPNS1ZZ,Ampney St Peter,1.1,12.3,Reviewed 2021,Ampney St Peter,12.30,12.50," 2,490 ",0, -   ,SWOX (2020), 139.9 
ANDOS1ZZ,Andoversford,0.9, 4.0 ,Reviewed 2022,Andoversford,0.00,3.90, 701 ,0, -   ,SWOX (2020), 139.9 
APPLS1ZZ,Appleton (New),3.4,20.7,Reviewed 2019,Appleton (New),,20.70," 6,102 ",," 3,867 ",SWOX (2020), 139.9 
ARBOS1ZZ,Arborfield,16.7, 103.3 ,Reviewed 2022,Arborfield,,107.00," 18,571 ",," 6,682 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASCOS1ZZ,Ascot,31.4, 90.0 ,Reviewed 2020,Ascot,,64.80," 33,168 ",," 21,233 "," 50% Z6 Wey (Affinity 2020), 50% WRZ4 Bracknell (South East Water 2020) ", 144.1 
ASHES1ZZ,Ashendon,0.0, no data ,"Based on solar year 2022, unverified",Ashendon,,, 195 ,, -   , Slough Wycombe Aylesbury (2020) , 138.3 
ASHFS1ZZ,Ashford Hill,0.0, no data ,"Based on solar year 2018, unverified",Ashford Hill,,0.05, 42 ,, -   , Kingsclere (Southern Water 2020) , 163.3 
ASHLS1ZZ,Ashley Green,0.0, 0.5 ,Reviewed 2022,Ashley Green,,0.20, 291 ,, -   , Z2 Colne (Affinity 2020) , 145.8 
ASHRS1ZZ,Wokingham,15.3, 40.5 ,Not reviewed 2022,Wokingham,,149.00," 13,176 ",," 1,673 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASHTS1ZZ,Ashton Keynes,5.5, 17.8 ,Reviewed 2022,Ashton Keynes,12.40,," 1,326 ",, -   ,SWOX (2020), 139.9 
ASHVS1ZZ,Ash Vale,35.1, 66.0 ,Reviewed 2021,Ash Vale,,61.50," 15,779 ",," 8,671 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASTOS1ZZ,Aston Le Walls,0.0, 1.3 ,Reviewed 2022,Aston Le Walls,,1.00, 278 ,, -   , Ruthamford (Anglian 2020) , 128.8 
AVONS1ZZ,Avon Dassett,0.0, no data ,"Based on solar year 2022, unverified",Avon Dassett,,0.03, 197 ,, -   ,Strategic Grid (Severn Trent 2020), 125.2 
AYLES1ZZ,Aylesbury,60.6, 345.0 ,Reviewed 2021,Aylesbury,345.00,406.00," 115,300 ","1,591,616"," 1,591,616 ",Slough Wycombe Aylesbury (2020), 138.3 
BAMPS1ZZ,Bampton,1.5, 14.4 ,Reviewed 2021,Bampton,0.00,14.60," 4,581 ","69,300"," 69,300 ",SWOX (2020), 139.9 
BANBS1ZZ,Banbury,45.8, 177.0 ,Reviewed 2021,Banbury,160.00,168.00," 78,023 ","2,375,756"," 2,375,756 ",SWOX (2020), 139.9 
BARFS1ZZ,Barford St Michael,0.2, 7.1 ,Reviewed 2022,Barford St Michael,0.00,2.30, 769 ,, -   ,SWOX (2020), 139.9 
